nama_produk,harga_produk,rating,jumlah_produk_terjual
 Ultimate Nourishing Rice Overnight Spa Mask ,Rp188.300,4.4," (1,3k) "
 Balancium Comfort Ceramide Cream ,Rp258.300,4.5, (241) 
 One Step Moisture Up Pads ,Rp224.925,4.5, (897) 
 Oil Free Kit ,Rp170.000,,
 Plumpy Kit ,Rp425.000,,
 COSRX Hero Booster Kit ,Rp299.250,,
" COSRX Wash, Moist, & Essence Bundle ", Rp119.000 ,,
 Full Fit Propolis Synergy Pad ,Rp335.750,4.8, (33) 
 Pure Fit Cica Pad ,Rp335.750,4.7, (19) 
 Poreless Pad ,Rp316.000,4.8, (18) 
 COSRX Oil-Free Ultra-Moisturizing Lotion (with Birch Sap) 20mL , Rp79.000 ,4.7, (156) 
 Refresh AHA BHA Vitamin C Booster Serum ,Rp297.500,4.7, (249) 
 Refresh AHA BHA Vitamin C Daily Cream ,Rp225.000,4.7, (194) 
 Pure Fit Cica Smoothing Cleanser Balm ,Rp225.000,4.4, (136) 
 Advanced Snail Mucin Gel Cleanser ,Rp217.500,4.7, (191) 
 AC Collection Blemish Spot Drying Lotion ,Rp213.750,4.6, (216) 
 Pure Fit Cica Powder 2.0 , Rp215.000 ,4.8, (7) 
 Pure Fit Cica Serum ,Rp299.250,4.6, (233) 
 Pure Fit Cica Toner ,Rp240.000,4.6, (335) 
 AC Collection Acne Hero kit Mild 2.0 , Rp349.000 ,4.6, (247) 
 AC Collection Lightweight Soothing Moisturizer ,Rp296.650,4.6, (583) 
